kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
3.67,32335,1139,114,40.7,40050,19,3385,2566,2,1
5.14,41799,811,905,66.7,8441,24,-1262,3551,3,1
3.67,30301,3561,285,40.7,21452,12,1087,39,4,1
2.88,15489,1063,1566,42.6,2634,50,1514,470,5,1
2,24151,852,1834,55.6,3793,27,8,-585,1,0
2,32305,-1139,-114,50,35102,22,-3385,-2566,2,0
1.92,42360,-811,-905,69.4,5005,22,1262,-3551,3,0
3.25,29623,-3561,-285,72.2,7036,15,-1087,-39,4,0
0.79,12767,-1063,-1566,30.6,2110,64,-1514,-470,5,0
0.71,27919,1063,2199,16.7,6357,34,214,189,1,0
1.33,36551,-534,-598,53.3,34693,23,-6723,-9551,2,0
2,49574,1807,1639,60,6467,33,-2101,-3316,3,0
0.87,45828,-736,-201,43.3,8435,16,-324,-3473,4,0
1.86,7022,-383,-1302,43.3,327,34,-2768,-4340,5,0
3.17,24037,-1063,-2199,38,23639,35,-214,-189,1,1
9.75,50413,534,598,78,55911,37,6723,9551,2,1
2.89,41759,-1807,-1639,52,10431,22,2101,3316,3,1
3.6,21587,736,201,36,27976,20,324,3473,4,1
